记录类型,图片名称,零件ID,模板ID,ViewID,View名称,ROI_ID,ROI属性,ROI坐标,ROI_normalizedRect,ROI_映射后像素坐标,软件检测结果,人工确认结果,人工确认时间,总体结果,总体确认时间,拍摄时间,ZIP路径,照片状态
照片,capture_20260904_165433_359_0ae4d06f.jpg,01,01_capture_a33660b8-0075-4837-9748-edcbacc39b4f,view_0,视角 1,,,,,,,,,,,2026-09-04 16:54:33,views/view_01/capture_20260904_165433_359_0ae4d06f.jpg,已导出
照片,capture_20260904_165444_423_a017014c.jpg,01,01_capture_3dee170a-ca4e-454a-97cc-f6288a4c47ca,view_1,视角 2,,,,,,,,,,,2026-09-04 16:54:44,views/view_02/capture_20260904_165444_423_a017014c.jpg,已导出
照片,capture_20260904_165454_254_9525e84a.jpg,01,01_capture_cb8c23f8-3bba-4b5e-a028-fc03107b4f43,view_2,视角 3,,,,,,,,,,,2026-09-04 16:54:54,views/view_03/capture_20260904_165454_254_9525e84a.jpg,已导出
照片,capture_20260904_165503_162_ab7e0b39.jpg,01,01_capture_f931afd8-fefe-4899-b927-11109efd3962,view_3,视角 4,,,,,,,,,,,2026-09-04 16:55:03,views/view_04/capture_20260904_165503_162_ab7e0b39.jpg,已导出
照片,capture_20260904_165515_410_ca04b148.jpg,01,01_capture_dd420bb2-b06e-427c-9da3-698c2113d651,view_4,视角 5,,,,,,,,,,,2026-09-04 16:55:15,views/view_05/capture_20260904_165515_410_ca04b148.jpg,已导出
照片,capture_20260904_165525_607_5a8d3e61.jpg,01,01_capture_f388fe0b-a25b-437b-b5f6-e9c7a11ef713,view_5,视角 6,,,,,,,,,,,2026-09-04 16:55:25,views/view_06/capture_20260904_165525_607_5a8d3e61.jpg,已导出
ROI确认,capture_20260904_165433_359_0ae4d06f.jpg,01,01_capture_a33660b8-0075-4837-9748-edcbacc39b4f,view_0,视角 1,39e9be54-b4b2-49e9-853a-e55e7f9139c5,FEATURE,"{""left"":0.43727585673332214,""top"":0.2907356321811676,""right"":0.8477365970611572,""bottom"":0.6585648059844971}","{""left"":0.43727585673332214,""top"":0.2907356321811676,""right"":0.8477365970611572,""bottom"":0.6585648059844971}","{""left"":2623,""top"":2325,""right"":5086,""bottom"":5268}",,OK,2026-09-04 16:54:36,OK,2026-09-04 16:54:36,,views/view_01/capture_20260904_165433_359_0ae4d06f.jpg,已确认
ROI确认,capture_20260904_165444_423_a017014c.jpg,01,01_capture_3dee170a-ca4e-454a-97cc-f6288a4c47ca,view_1,视角 2,6b9989fb-03dd-4646-9f7f-db90519d9220,FEATURE,"{""left"":0.567238986492157,""top"":0.42283064126968384,""right"":0.7664608955383301,""bottom"":0.5435956716537476}","{""left"":0.567238986492157,""top"":0.42283064126968384,""right"":0.7664608955383301,""bottom"":0.5435956716537476}","{""left"":3403,""top"":3382,""right"":4598,""bottom"":4348}",,OK,2026-09-04 16:54:48,OK,2026-09-04 16:54:48,,views/view_02/capture_20260904_165444_423_a017014c.jpg,已确认
ROI确认,capture_20260904_165444_423_a017014c.jpg,01,01_capture_3dee170a-ca4e-454a-97cc-f6288a4c47ca,view_1,视角 2,ecfca366-beee-435d-a23d-a37c058d6b89,FEATURE,"{""left"":0.19242724776268005,""top"":0.27014410495758057,""right"":0.4063785970211029,""bottom"":0.46643519401550293}","{""left"":0.19242724776268005,""top"":0.27014410495758057,""right"":0.4063785970211029,""bottom"":0.46643519401550293}","{""left"":1154,""top"":2161,""right"":2438,""bottom"":3731}",,NG,2026-09-04 16:54:48,OK,2026-09-04 16:54:48,,views/view_02/capture_20260904_165444_423_a017014c.jpg,已确认
ROI确认,capture_20260904_165454_254_9525e84a.jpg,01,01_capture_cb8c23f8-3bba-4b5e-a028-fc03107b4f43,view_2,视角 3,74d74287-3f29-4fc7-9890-1791cbb78bdf,FEATURE,"{""left"":0.3176795244216919,""top"":0.4222484529018402,""right"":0.9212737083435059,""bottom"":0.7550154328346252}","{""left"":0.3176795244216919,""top"":0.4222484529018402,""right"":0.9212737083435059,""bottom"":0.7550154328346252}","{""left"":1906,""top"":3377,""right"":5527,""bottom"":6040}",,OK,2026-09-04 16:54:57,OK,2026-09-04 16:54:57,,views/view_03/capture_20260904_165454_254_9525e84a.jpg,已确认
ROI确认,capture_20260904_165503_162_ab7e0b39.jpg,01,01_capture_f931afd8-fefe-4899-b927-11109efd3962,view_3,视角 4,9ab4dbe2-980c-46b8-8a6e-e0cc6f80c326,FEATURE,"{""left"":0.4919333755970001,""top"":0.4568195044994354,""right"":0.8734567761421204,""bottom"":0.7395833134651184}","{""left"":0.4919333755970001,""top"":0.4568195044994354,""right"":0.8734567761421204,""bottom"":0.7395833134651184}","{""left"":2951,""top"":3654,""right"":5240,""bottom"":5916}",,OK,2026-09-04 16:55:05,NG,2026-09-04 16:55:05,,views/view_04/capture_20260904_165503_162_ab7e0b39.jpg,已确认
ROI确认,capture_20260904_165515_410_ca04b148.jpg,01,01_capture_dd420bb2-b06e-427c-9da3-698c2113d651,view_4,视角 5,6b18905c-3fc3-44a2-ba7e-6a5aa5d2818e,FEATURE,"{""left"":0.3271361291408539,""top"":0.3132624626159668,""right"":0.8168724179267883,""bottom"":0.5212191343307495}","{""left"":0.3271361291408539,""top"":0.3132624626159668,""right"":0.8168724179267883,""bottom"":0.5212191343307495}","{""left"":1962,""top"":2506,""right"":4901,""bottom"":4169}",,OK,2026-09-04 16:55:18,OK,2026-09-04 16:55:18,,views/view_05/capture_20260904_165515_410_ca04b148.jpg,已确认
ROI确认,capture_20260904_165515_410_ca04b148.jpg,01,01_capture_dd420bb2-b06e-427c-9da3-698c2113d651,view_4,视角 5,f86d09b4-385e-4241-933d-1c47514f5900,FEATURE,"{""left"":0.3616427183151245,""top"":0.55534428358078,""right"":0.7798354029655457,""bottom"":0.7858796119689941}","{""left"":0.3616427183151245,""top"":0.55534428358078,""right"":0.7798354029655457,""bottom"":0.7858796119689941}","{""left"":2169,""top"":4442,""right"":4679,""bottom"":6287}",,OK,2026-09-04 16:55:18,OK,2026-09-04 16:55:18,,views/view_05/capture_20260904_165515_410_ca04b148.jpg,已确认
ROI确认,capture_20260904_165525_607_5a8d3e61.jpg,01,01_capture_f388fe0b-a25b-437b-b5f6-e9c7a11ef713,view_5,视角 6,24020eff-13ea-4be6-86c0-541321fb532d,FEATURE,"{""left"":0.23585598170757294,""top"":0.8630854487419128,""right"":0.5344650149345398,""bottom"":0.9448302388191223}","{""left"":0.23585598170757294,""top"":0.8630854487419128,""right"":0.5344650149345398,""bottom"":0.9448302388191223}","{""left"":1415,""top"":6904,""right"":3206,""bottom"":7558}",,OK,2026-09-04 16:55:28,OK,2026-09-04 16:55:28,,views/view_06/capture_20260904_165525_607_5a8d3e61.jpg,已确认
ROI确认,capture_20260904_165525_607_5a8d3e61.jpg,01,01_capture_f388fe0b-a25b-437b-b5f6-e9c7a11ef713,view_5,视角 6,a2a9d943-8e8a-4e82-b234-bce3db1adee1,FEATURE,"{""left"":0.28596726059913635,""top"":0.05384261533617973,""right"":0.5802469253540039,""bottom"":0.14737653732299805}","{""left"":0.28596726059913635,""top"":0.05384261533617973,""right"":0.5802469253540039,""bottom"":0.14737653732299805}","{""left"":1715,""top"":430,""right"":3481,""bottom"":1179}",,OK,2026-09-04 16:55:28,OK,2026-09-04 16:55:28,,views/view_06/capture_20260904_165525_607_5a8d3e61.jpg,已确认
