记录类型,batchId,partId,photoId,templateId,viewIndex,roiId,图片名称,View名称,ROI名称,ROI属性,ROI_normalizedRect,ROI_映射后像素坐标,软件目标类别,软件最高分,业务阈值,候选阈值,模型版本,模型摘要,推理耗时ms,推理状态,模型建议,人工最终结果,humanChangedModel,人工确认时间,总体人工结果,总体确认时间,拍摄时间,照片ZIP路径,照片状态,ROI图ZIP路径,ROI图状态,detectionIndex,detectionClass,detectionScore,detectionRoiBox,detectionImageBox,scanSessionId,dpmCode,dpmDecodeSource,dpmStatus,dpmFrameZipPath,dpmRoiZipPath,dpmFrameStatus,dpmRoiStatus
照片,batch_1789460856594_4eea7daa,01,20,01_capture_a33660b8-0075-4837-9748-edcbacc39b4f,0,,capture_20260915_162737_684_ebcec9e4.jpg,视角 1,,未选择,,,,,,,,,,,,,,,OK,2026-09-15 16:27:41,2026-09-15 16:27:37,views/view_01/photo_20_capture_20260915_162737_684_ebcec9e4.jpg,已导出,,,,,,,,,,,,,,,
照片,batch_1789460856594_4eea7daa,01,21,01_capture_3dee170a-ca4e-454a-97cc-f6288a4c47ca,1,,capture_20260915_162743_332_f8f875cf.jpg,视角 2,,未选择,,,,,,,,,,,,,,,OK,2026-09-15 16:27:48,2026-09-15 16:27:43,views/view_02/photo_21_capture_20260915_162743_332_f8f875cf.jpg,已导出,,,,,,,,,,,,,,,
照片,batch_1789460856594_4eea7daa,01,22,01_capture_cb8c23f8-3bba-4b5e-a028-fc03107b4f43,2,,capture_20260915_162752_296_ad3a35a5.jpg,视角 3,,未选择,,,,,,,,,,,,,,,OK,2026-09-15 16:27:54,2026-09-15 16:27:52,views/view_03/photo_22_capture_20260915_162752_296_ad3a35a5.jpg,已导出,,,,,,,,,,,,,,,
照片,batch_1789460856594_4eea7daa,01,23,01_capture_f931afd8-fefe-4899-b927-11109efd3962,3,,capture_20260915_162758_920_60a24dde.jpg,视角 4,,未选择,,,,,,,,,,,,,,,OK,2026-09-15 16:28:01,2026-09-15 16:27:58,views/view_04/photo_23_capture_20260915_162758_920_60a24dde.jpg,已导出,,,,,,,,,,,,,,,
照片,batch_1789460856594_4eea7daa,01,24,01_capture_dd420bb2-b06e-427c-9da3-698c2113d651,4,,capture_20260915_162804_107_c9d4faf1.jpg,视角 5,,未选择,,,,,,,,,,,,,,,OK,2026-09-15 16:28:07,2026-09-15 16:28:04,views/view_05/photo_24_capture_20260915_162804_107_c9d4faf1.jpg,已导出,,,,,,,,,,,,,,,
照片,batch_1789460856594_4eea7daa,01,25,01_capture_f388fe0b-a25b-437b-b5f6-e9c7a11ef713,5,,capture_20260915_162810_521_5d30f4ea.jpg,视角 6,,未选择,,,,,,,,,,,,,,,OK,2026-09-15 16:28:13,2026-09-15 16:28:10,views/view_06/photo_25_capture_20260915_162810_521_5d30f4ea.jpg,已导出,,,,,,,,,,,,,,,
ROI,batch_1789460856594_4eea7daa,01,20,01_capture_a33660b8-0075-4837-9748-edcbacc39b4f,0,39e9be54-b4b2-49e9-853a-e55e7f9139c5,capture_20260915_162737_684_ebcec9e4.jpg,视角 1,ROI 1,FEATURE,"{""left"":0.43727585673332214,""top"":0.2907356321811676,""right"":0.8477365970611572,""bottom"":0.6585648059844971}","{""left"":2623,""top"":2325,""right"":5087,""bottom"":5269}",,,,0.05000000074505806,nanodet-ncnn-20260526-opt2,"{""modelVersion"":""nanodet-ncnn-20260526-opt2"",""modelParamSha256"":""AD45E2F3FCB6777A5E924AA9A3095C23B2C5F900632720C389D7816A1A390BDD"",""modelSha256"":""38F67190D669C9F047546F1B34DF541704E9A20429C4921182DDA8085E8F54E3"",""inputShape"":""[1,3,416,416]"",""outputBlob"":""out0"",""outputShape"":""[3598,34]"",""candidateThreshold"":0.05000000074505806,""imageWidth"":null,""imageHeight"":null,""exifOrientation"":null,""roiBounds"":null,""detail"":null}",0,FEATURE_UNSUPPORTED,,NG,false,2026-09-15 16:27:41,OK,2026-09-15 16:27:41,2026-09-15 16:27:37,,已由照片行记录,,缺失：未持久化,,,,,,,,,,,,,
ROI,batch_1789460856594_4eea7daa,01,21,01_capture_3dee170a-ca4e-454a-97cc-f6288a4c47ca,1,6b9989fb-03dd-4646-9f7f-db90519d9220,capture_20260915_162743_332_f8f875cf.jpg,视角 2,ROI 1,FEATURE,"{""left"":0.567238986492157,""top"":0.42283064126968384,""right"":0.7664608955383301,""bottom"":0.5435956716537476}","{""left"":3403,""top"":3382,""right"":4599,""bottom"":4349}",,,,0.05000000074505806,nanodet-ncnn-20260526-opt2,"{""modelVersion"":""nanodet-ncnn-20260526-opt2"",""modelParamSha256"":""AD45E2F3FCB6777A5E924AA9A3095C23B2C5F900632720C389D7816A1A390BDD"",""modelSha256"":""38F67190D669C9F047546F1B34DF541704E9A20429C4921182DDA8085E8F54E3"",""inputShape"":""[1,3,416,416]"",""outputBlob"":""out0"",""outputShape"":""[3598,34]"",""candidateThreshold"":0.05000000074505806,""imageWidth"":null,""imageHeight"":null,""exifOrientation"":null,""roiBounds"":null,""detail"":null}",0,FEATURE_UNSUPPORTED,,NG,false,2026-09-15 16:27:48,OK,2026-09-15 16:27:48,2026-09-15 16:27:43,,已由照片行记录,,缺失：未持久化,,,,,,,,,,,,,
ROI,batch_1789460856594_4eea7daa,01,21,01_capture_3dee170a-ca4e-454a-97cc-f6288a4c47ca,1,ecfca366-beee-435d-a23d-a37c058d6b89,capture_20260915_162743_332_f8f875cf.jpg,视角 2,ROI 2,FEATURE,"{""left"":0.19242724776268005,""top"":0.27014410495758057,""right"":0.4063785970211029,""bottom"":0.46643519401550293}","{""left"":1154,""top"":2161,""right"":2439,""bottom"":3732}",,,,0.05000000074505806,nanodet-ncnn-20260526-opt2,"{""modelVersion"":""nanodet-ncnn-20260526-opt2"",""modelParamSha256"":""AD45E2F3FCB6777A5E924AA9A3095C23B2C5F900632720C389D7816A1A390BDD"",""modelSha256"":""38F67190D669C9F047546F1B34DF541704E9A20429C4921182DDA8085E8F54E3"",""inputShape"":""[1,3,416,416]"",""outputBlob"":""out0"",""outputShape"":""[3598,34]"",""candidateThreshold"":0.05000000074505806,""imageWidth"":null,""imageHeight"":null,""exifOrientation"":null,""roiBounds"":null,""detail"":null}",0,FEATURE_UNSUPPORTED,,OK,false,2026-09-15 16:27:48,OK,2026-09-15 16:27:48,2026-09-15 16:27:43,,已由照片行记录,,缺失：未持久化,,,,,,,,,,,,,
ROI,batch_1789460856594_4eea7daa,01,22,01_capture_cb8c23f8-3bba-4b5e-a028-fc03107b4f43,2,74d74287-3f29-4fc7-9890-1791cbb78bdf,capture_20260915_162752_296_ad3a35a5.jpg,视角 3,ROI 1,FEATURE,"{""left"":0.3176795244216919,""top"":0.4222484529018402,""right"":0.9212737083435059,""bottom"":0.7550154328346252}","{""left"":1906,""top"":3377,""right"":5528,""bottom"":6041}",,,,0.05000000074505806,nanodet-ncnn-20260526-opt2,"{""modelVersion"":""nanodet-ncnn-20260526-opt2"",""modelParamSha256"":""AD45E2F3FCB6777A5E924AA9A3095C23B2C5F900632720C389D7816A1A390BDD"",""modelSha256"":""38F67190D669C9F047546F1B34DF541704E9A20429C4921182DDA8085E8F54E3"",""inputShape"":""[1,3,416,416]"",""outputBlob"":""out0"",""outputShape"":""[3598,34]"",""candidateThreshold"":0.05000000074505806,""imageWidth"":null,""imageHeight"":null,""exifOrientation"":null,""roiBounds"":null,""detail"":null}",0,FEATURE_UNSUPPORTED,,NG,false,2026-09-15 16:27:54,OK,2026-09-15 16:27:54,2026-09-15 16:27:52,,已由照片行记录,,缺失：未持久化,,,,,,,,,,,,,
