index,imageId,fileName,status,score,candidateCountBeforeNms,candidateCount,boxes,message,durationMs,debugPath
1,dcim:IMG_20260828_103109,IMG_20260828_103109.jpg,REVIEW,0.6925326307884614,1.0,1.0,"[[591, 1986, 538, 443]]",expectedCount is not configured; candidate count is informational,384,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\01_IMG_20260828_103109.jpg.nut.jpg
2,dcim:IMG_20260828_103112,IMG_20260828_103112.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,230,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\02_IMG_20260828_103112.jpg.nut.jpg
3,dcim:IMG_20260828_103115,IMG_20260828_103115.jpg,REVIEW,0.6009769239637701,1.0,1.0,"[[3779, 1612, 317, 341]]",expectedCount is not configured; candidate count is informational,231,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\03_IMG_20260828_103115.jpg.nut.jpg
4,dcim:IMG_20260828_103118,IMG_20260828_103118.jpg,REVIEW,0.6666138374977101,1.0,1.0,"[[1158, 1381, 402, 313]]",expectedCount is not configured; candidate count is informational,369,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\04_IMG_20260828_103118.jpg.nut.jpg
5,dcim:IMG_20260828_103122,IMG_20260828_103122.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,284,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\05_IMG_20260828_103122.jpg.nut.jpg
6,dcim:IMG_20260828_103127,IMG_20260828_103127.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,264,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\06_IMG_20260828_103127.jpg.nut.jpg
7,dcim:IMG_20260828_103130,IMG_20260828_103130.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,245,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\07_IMG_20260828_103130.jpg.nut.jpg
8,dcim:IMG_20260828_103134,IMG_20260828_103134.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,250,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\08_IMG_20260828_103134.jpg.nut.jpg
9,dcim:IMG_20260828_103138,IMG_20260828_103138.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,228,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\09_IMG_20260828_103138.jpg.nut.jpg
10,dcim:IMG_20260828_103145,IMG_20260828_103145.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,199,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\10_IMG_20260828_103145.jpg.nut.jpg
11,dcim:IMG_20260828_103149,IMG_20260828_103149.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,211,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\11_IMG_20260828_103149.jpg.nut.jpg
12,dcim:IMG_20260828_103156,IMG_20260828_103156.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,188,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\12_IMG_20260828_103156.jpg.nut.jpg
13,dcim:IMG_20260828_103203,IMG_20260828_103203.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,268,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\13_IMG_20260828_103203.jpg.nut.jpg
14,dcim:IMG_20260828_103205,IMG_20260828_103205.jpg,REVIEW,0.7287299048834144,1.0,1.0,"[[830, 791, 324, 242]]",expectedCount is not configured; candidate count is informational,350,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\14_IMG_20260828_103205.jpg.nut.jpg
15,dcim:IMG_20260828_103209,IMG_20260828_103209.jpg,REVIEW,0.509498455334555,1.0,1.0,"[[109, 1358, 374, 351]]",expectedCount is not configured; candidate count is informational,242,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\15_IMG_20260828_103209.jpg.nut.jpg
16,dcim:IMG_20260828_103218,IMG_20260828_103218.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,220,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\16_IMG_20260828_103218.jpg.nut.jpg
17,dcim:IMG_20260828_103223,IMG_20260828_103223.jpg,REVIEW,0.5977291209538729,2.0,2.0,"[[2200, 1148, 323, 316], [983, 0, 420, 267]]",expectedCount is not configured; candidate count is informational,409,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\17_IMG_20260828_103223.jpg.nut.jpg
18,dcim:IMG_20260828_103228,IMG_20260828_103228.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,250,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\18_IMG_20260828_103228.jpg.nut.jpg
19,dcim:IMG_20260828_103231,IMG_20260828_103231.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,269,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\19_IMG_20260828_103231.jpg.nut.jpg
20,dcim:IMG_20260828_103241,IMG_20260828_103241.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,288,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\20_IMG_20260828_103241.jpg.nut.jpg
21,dcim:IMG_20260828_103308,IMG_20260828_103308.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,242,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\21_IMG_20260828_103308.jpg.nut.jpg
22,dcim:IMG_20260828_103313,IMG_20260828_103313.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,315,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\22_IMG_20260828_103313.jpg.nut.jpg
23,dcim:IMG_20260828_103318,IMG_20260828_103318.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,332,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\23_IMG_20260828_103318.jpg.nut.jpg
24,dcim:IMG_20260828_103322,IMG_20260828_103322.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,240,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\24_IMG_20260828_103322.jpg.nut.jpg
25,dcim:IMG_20260828_103326,IMG_20260828_103326.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,348,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\25_IMG_20260828_103326.jpg.nut.jpg
26,dcim:IMG_20260828_103331,IMG_20260828_103331.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,257,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\26_IMG_20260828_103331.jpg.nut.jpg
27,dcim:IMG_20260828_103335,IMG_20260828_103335.jpg,REVIEW,0.5110163968540417,1.0,1.0,"[[547, 2589, 250, 368]]",expectedCount is not configured; candidate count is informational,225,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\27_IMG_20260828_103335.jpg.nut.jpg
28,dcim:IMG_20260828_103340,IMG_20260828_103340.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,267,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\28_IMG_20260828_103340.jpg.nut.jpg
29,dcim:IMG_20260828_103344,IMG_20260828_103344.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,267,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\29_IMG_20260828_103344.jpg.nut.jpg
30,dcim:IMG_20260828_103354,IMG_20260828_103354.jpg,REVIEW,0.0,0.0,0.0,[],expectedCount is not configured; candidate count is informational,320,D:\study\Textile_defects\Wearable Inspection\MobileInspectionApp\docs\reports\b3\feature_presence\exploratory_nut_dcim_20260903\debug\30_IMG_20260828_103354.jpg.nut.jpg
